99
938	5185	6378	6509	9994	5987	4878	4720	9340	3563	5112	8723	803	2271	5979	7470	5526	2312	9377	1679	7420	7457	7815	4587	6020	1671	321	8947	1251	4178	2779	2864	3212	3613	5797	7940	3757	4374	5486	80	1797	6712	2283	9830	6263	6003	7641	915	4418	8324	5303	1090	8617	9857	6528	6679	5244	6414	7900	6402	2106	6574	7779	9364	7157	457	1878	2052	8350	4650	9526	2394	4016	5342	6411	3329	8545	4832	2138	2347	3361	4175	1358	7588	7531	3457	4465	9198	129	5870	5627	8751	9751	2565	9956	5773	8616	854	4941	992
2892	4511	3142	9645	3395	9478	884	5666	5570	3546	9075	6827	4600	6523	3409	2861	214	9323	4858	3988	6002	6306	7300	8192	2515	4728	1259	2423	9924	4320	2248	1022	8803	7285	8321	1988	3174	6891	4387	9837	3955	8608	7336	9368	5465	757	1843	4456	1352	2988	4518	6422	796	8095	5783	5803	1454	99	8437	9812	7091	5986	9117	8395	4411	9733	5145	3005	4084	8687	3105	7129	3829	7728	5399	7530	5581	591	9928	6046	4572	5706	3001	7605	430	1508	2089	5839	118	2781	6967	2571	7774	9216	1163	4664	1160	7369	9136	7134
5455	7999	815	855	4589	664	2845	2689	5103	9064	3761	6588	2256	9206	9457	8935	4671	6395	6419	7596	3456	8034	9855	1089	3887	6828	4862	9769	2438	3060	8458	8824	5826	2625	377	4644	1221	7189	6720	6471	1016	1418	1904	3034	7344	3448	9824	7812	6878	701	8262	9007	1049	3568	3273	1279	5119	6383	1249	5584	6963	5240	8287	5913	8552	4874	1443	2078	8205	2196	276	3431	4712	3869	9013	8933	504	9706	3495	7235	5111	3071	582	5650	9179	4402	8031	9981	8391	6174	9222	9946	7772	3552	2334	7063	5539	5000	3900	1384
7246	3927	3502	3151	8970	7879	2037	329	9078	4491	6271	7463	2321	9034	8454	2641	6860	6724	9768	4719	543	8536	8837	6444	1519	3915	8048	7964	2308	6180	7759	6908	4302	3362	317	6099	2218	5506	9459	1048	5215	2097	6930	3682	9860	1228	9056	3305	3598	4583	2127	924	9767	2766	8584	177	9346	513	4376	7185	9679	6163	3475	4615	2663	1868	6955	4397	3326	8007	7301	412	2797	11	7904	3223	4337	9436	5924	5272	3419	9089	9180	6870	4546	8216	199	8032	1390	2589	1912	994	6848	9586	5692	182	3583	4552	7852	288
9969	6779	6802	3	4079	4340	5978	1144	8284	1683	7979	8407	670	2714	6071	1261	3680	7273	2213	6896	2400	3369	9527	3582	4427	9790	2899	7785	3138	7074	3672	486	5261	1141	299	2847	9970	4965	4824	3776	5744	9688	4256	2630	9401	1118	6285	8016	5169	9606	9613	3588	7792	4604	6869	5510	8241	7460	6533	6195	1537	3889	4006	1000	4055	4092	9980	3381	540	9629	7873	373	5208	7150	8025	3335	7718	722	8365	7169	6572	9140	7787	4906	9685	4124	6818	9009	8702	1130	8849	4318	7201	43	2971	7180	7417	5225	7725	1604
8795	6293	7643	4266	6463	2207	3535	829	5142	3256	1112	5517	1497	404	3432	8471	9892	1864	132	8331	7037	123	2858	3596	6045	6446	454	9707	7501	8749	1747	9400	9030	6248	155	8929	1047	6630	2520	1423	9899	4501	8101	2624	5980	1477	6289	1132	5077	791	1853	9345	6390	1168	2569	3981	8348	4011	5431	617	3447	913	9975	9974	187	661	4025	2843	1650	5535	1515	5925	5862	6176	4635	1993	4368	4926	8542	61	912	9811	2680	6988	5734	3892	2108	5576	8857	5250	3243	5115	6586	8503	7104	4135	2735	9426	3405	9488
7966	368	487	8587	8281	3884	4884	2391	5840	5795	9734	5162	1236	2259	5476	3814	2904	3234	2920	7882	4564	9477	1305	5027	8575	3309	3154	3263	8465	1939	2310	2181	1826	406	28	8368	8671	2490	3047	1928	6304	763	7064	8744	7880	1425	5009	8225	6863	5571	4330	589	3165	7808	5099	3322	4412	1765	3244	7419	4622	384	3186	85	4227	9153	7724	807	7440	3217	1051	5291	9901	8325	1627	953	9266	8053	2134	313	9643	1040	8624	212	5914	816	4972	7371	2501	6578	8066	5227	3765	6856	2506	5050	458	6379	2964	5901
9254	284	9219	1182	2505	7060	6064	2739	5863	204	9337	9925	9255	1969	9011	7151	6957	771	7831	2481	6361	7161	7846	316	4095	819	7892	8805	6901	3987	5841	4563	3062	1374	6343	3601	3352	7469	9800	5546	1612	6753	3225	7901	2629	9858	2260	1982	6759	5582	8043	4441	7877	7563	7654	2491	2701	8094	3591	9890	1599	2185	6666	5784	4904	3145	5649	8519	5632	8168	6773	8667	488	1240	8260	9813	1202	1255	9215	7737	4844	9922	4951	1575	7374	830	4038	981	6136	7233	31	963	6492	9472	7809	1617	8621	308	9185	4747
1962	5531	9475	5325	3095	3971	2711	4519	5629	3999	2269	5837	2962	7203	6133	1827	6541	5928	1169	419	3849	4478	9129	5728	7364	3035	3132	2351	9113	3399	6624	9042	6822	2201	194	1957	8302	4709	3647	2151	3090	4727	9171	3253	9158	8543	1495	7574	997	6198	1470	2005	2058	7471	4479	4646	2319	3538	6101	25	5159	7059	2748	8982	9625	266	764	9297	8122	2981	1084	3973	4203	4626	9387	7525	8125	2956	3219	5254	4871	8445	847	6551	1330	4678	5912	1005	8314	8233	4191	9356	5146	8497	9834	9574	5253	1623	3295	4388
6134	3086	6945	5765	7984	4240	6547	8247	9870	9017	1874	4715	8975	1426	7211	5534	2599	3094	886	2341	9627	6507	3891	1717	8949	8018	2905	1744	2280	8033	3353	8411	2203	3676	101	3779	7497	3473	6832	8374	4471	7254	988	5297	6194	1167	8164	7381	9941	7532	7084	6931	322	6145	8259	4829	6261	2479	2115	4931	7115	3594	9989	142	9632	5589	9817	8940	5370	845	3327	8352	6882	1967	5945	2936	5448	5232	4978	9785	8288	9694	3822	3931	7121	7671	620	1424	6	1292	9173	2274	629	6283	5764	8147	7145	696	9814	9327
